"Date/Time","Lat","Lon","Base","Distance"
"8/4/2014 19:58:00",40.773,-73.8856,"B02512",1069.92255305453
"8/4/2014 21:04:00",40.774,-73.8726,"B02512",343.723009356098
"8/4/2014 21:22:00",40.774,-73.8726,"B02512",343.723009356098
"8/4/2014 22:14:00",40.7739,-73.8725,"B02512",357.096183416598
"8/4/2014 22:20:00",40.7741,-73.8724,"B02512",339.626063384214
"8/4/2014 22:24:00",40.7713,-73.8662,"B02512",906.082196031126
"8/5/2014 3:52:00",40.7752,-73.912,"B02512",3208.93570049497
"8/5/2014 4:43:00",40.7558,-73.9124,"B02512",3999.84221626
"8/5/2014 5:42:00",40.774,-73.8726,"B02512",343.723009356098
"8/5/2014 5:43:00",40.7732,-73.8856,"B02512",1061.08223377555
"8/5/2014 7:12:00",40.7732,-73.8857,"B02512",1068.85621904676
"8/5/2014 7:23:00",40.7556,-73.9195,"B02512",4509.7934436946
"8/5/2014 7:36:00",40.7716,-73.894,"B02512",1786.26833534587
"8/5/2014 7:52:00",40.7827,-73.9106,"B02512",3151.99454030859
"8/5/2014 9:14:00",40.7741,-73.8732,"B02512",318.906877366475
"8/5/2014 9:29:00",40.7699,-73.8646,"B02512",1111.38185645728
"8/5/2014 9:47:00",40.7685,-73.8625,"B02512",1346.95237500493
"8/5/2014 10:41:00",40.7705,-73.8653,"B02512",1022.49167345262
"8/5/2014 11:10:00",40.7732,-73.8855,"B02512",1053.31834047042
"8/5/2014 11:10:00",40.7732,-73.8855,"B02512",1053.31834047042
"8/5/2014 12:07:00",40.7739,-73.8722,"B02512",366.814708405038
"8/5/2014 12:57:00",40.7739,-73.8717,"B02512",386.1621048201
"8/5/2014 12:58:00",40.7738,-73.8741,"B02512",345.193370723188
"8/5/2014 12:59:00",40.7739,-73.8721,"B02512",370.381427819941
"8/5/2014 13:05:00",40.7739,-73.872,"B02512",374.104132628144
"8/5/2014 13:15:00",40.7719,-73.8719,"B02512",584.072716468378
"8/5/2014 13:17:00",40.8031,-73.9126,"B02512",4369.21006629743
"8/5/2014 13:38:00",40.7682,-73.862,"B02512",1400.48689250249
"8/5/2014 13:40:00",40.774,-73.8726,"B02512",343.723009356098
"8/5/2014 14:21:00",40.774,-73.8727,"B02512",340.920488232543
"8/5/2014 14:32:00",40.7707,-73.8657,"B02512",982.819298373885
"8/5/2014 14:44:00",40.774,-73.8726,"B02512",343.723009356098
"8/5/2014 14:49:00",40.7704,-73.8754,"B02512",733.13881650781
"8/5/2014 15:36:00",40.7737,-73.8739,"B02512",356.322103703157
"8/5/2014 15:47:00",40.7599,-73.8992,"B02512",2845.18926706875
"8/5/2014 16:03:00",40.7737,-73.8739,"B02512",356.322103703157
"8/5/2014 16:24:00",40.7739,-73.8716,"B02512",390.462781824314
"8/5/2014 18:40:00",40.7526,-73.8886,"B02512",2971.97866645084
"8/5/2014 19:14:00",40.7709,-73.8661,"B02512",943.209484374183
"8/5/2014 19:31:00",40.7707,-73.8656,"B02512",988.838738047825
"8/5/2014 19:51:00",40.7704,-73.8651,"B02512",1042.34909262802
"8/5/2014 20:31:00",40.7685,-73.8627,"B02512",1334.8680969893
"8/5/2014 22:44:00",40.7686,-73.8627,"B02512",1327.09335849434
"8/5/2014 23:06:00",40.7705,-73.9316,"B02512",4907.76392172157
"8/5/2014 23:54:00",40.7441,-73.8849,"B02512",3765.17353371294
"8/6/2014 2:12:00",40.7472,-73.8896,"B02512",3558.22930143811
"8/6/2014 6:55:00",40.7707,-73.8655,"B02512",994.893191011303
"8/6/2014 8:15:00",40.7732,-73.8856,"B02512",1061.08223377555
"8/6/2014 8:54:00",40.7703,-73.865,"B02512",1056.14733803277
"8/6/2014 9:05:00",40.7706,-73.8654,"B02512",1008.69015836546
"8/6/2014 9:18:00",40.7741,-73.872,"B02512",354.37136284262
"8/6/2014 9:24:00",40.7685,-73.8627,"B02512",1334.8680969893
"8/6/2014 10:28:00",40.7764,-73.9187,"B02512",3768.52896080361
"8/6/2014 10:55:00",40.774,-73.8728,"B02512",338.304861659285
"8/6/2014 11:04:00",40.7732,-73.8856,"B02512",1061.08223377555
"8/6/2014 11:04:00",40.7732,-73.8856,"B02512",1061.08223377555
"8/6/2014 11:04:00",40.7678,-73.8616,"B02512",1455.66681441222
"8/6/2014 11:25:00",40.7723,-73.9206,"B02512",3961.63889488508
"8/6/2014 13:07:00",40.773,-73.9086,"B02512",2948.91639860787
"8/6/2014 13:17:00",40.7712,-73.8779,"B02512",714.639709805687
"8/6/2014 13:29:00",40.7704,-73.8645,"B02512",1079.32874152373
"8/6/2014 13:56:00",40.7739,-73.8725,"B02512",357.096183416598
"8/6/2014 14:17:00",40.774,-73.8716,"B02512",380.985334691994
"8/6/2014 16:05:00",40.7732,-73.8857,"B02512",1068.85621904676
"8/6/2014 16:30:00",40.7684,-73.8762,"B02512",964.220913512949
"8/6/2014 17:10:00",40.7739,-73.8727,"B02512",351.479863579822
"8/6/2014 17:34:00",40.7396,-73.9006,"B02512",4719.29157410885
"8/6/2014 18:24:00",40.7707,-73.8655,"B02512",994.893191011303
"8/6/2014 18:34:00",40.7739,-73.8722,"B02512",366.814708405038
"8/6/2014 18:51:00",40.7732,-73.8855,"B02512",1053.31834047042
"8/6/2014 19:14:00",40.7711,-73.8661,"B02512",927.576200553434
"8/6/2014 19:16:00",40.7741,-73.871,"B02512",401.386356027886
"8/6/2014 19:17:00",40.748,-73.8633,"B02512",3341.23878099205
"8/6/2014 19:33:00",40.748,-73.8687,"B02512",3248.0214646168
"8/6/2014 19:52:00",40.7685,-73.8623,"B02512",1359.13837548579
"8/6/2014 20:45:00",40.7701,-73.8649,"B02512",1077.73972194755
"8/6/2014 23:12:00",40.7685,-73.8625,"B02512",1346.95237500493
"8/7/2014 0:27:00",40.8173,-73.8901,"B02512",4697.51242902706
"8/7/2014 0:43:00",40.7648,-73.917,"B02512",3867.28183684179
"8/7/2014 6:25:00",40.7678,-73.8676,"B02512",1147.73220301933
"8/7/2014 8:04:00",40.7739,-73.8722,"B02512",366.814708405038
"8/7/2014 8:31:00",40.7497,-73.9107,"B02512",4329.3368230986
"8/7/2014 9:16:00",40.7739,-73.8714,"B02512",399.459127049639
