"ruta";"fecha";"vuelo";"dia_sem";"sem_anio";"asientos";"pasajeros";"hora_despegue";"origen";"destino";"pasajero_conexion";"pasajero_negocio";"pasajeros_noshow"
"213";"LIMA - SAO PAULO";"2016-08-26";2553;5;35;150;111;"19:00:00";"SAO";"LIM";94;3;11
"214";"LIMA - SAO PAULO";"2016-08-19";2553;5;34;150;146;"19:00:00";"SAO";"LIM";109;4;1
"215";"LIMA - SAO PAULO";"2016-08-12";2553;5;33;150;144;"19:00:00";"SAO";"LIM";108;4;0
"216";"LIMA - SAO PAULO";"2016-08-05";2553;5;32;150;145;"19:00:00";"SAO";"LIM";96;11;5
"217";"LIMA - SAO PAULO";"2016-09-01";2553;4;36;150;104;"19:00:00";"SAO";"LIM";86;3;6
"218";"LIMA - SAO PAULO";"2016-08-25";2553;4;35;150;148;"19:00:00";"SAO";"LIM";136;2;0
"219";"LIMA - SAO PAULO";"2016-08-18";2553;4;34;150;141;"19:00:00";"SAO";"LIM";130;3;5
"220";"LIMA - SAO PAULO";"2016-08-11";2553;4;33;150;149;"19:00:00";"SAO";"LIM";132;3;7
"221";"LIMA - SAO PAULO";"2016-08-04";2553;4;32;150;147;"19:00:00";"SAO";"LIM";95;19;1
"222";"LIMA - SAO PAULO";"2016-08-31";2553;3;36;150;128;"19:00:00";"SAO";"LIM";105;8;0
"223";"LIMA - SAO PAULO";"2016-08-24";2553;3;35;150;149;"19:00:00";"SAO";"LIM";131;4;4
"224";"LIMA - SAO PAULO";"2016-08-17";2553;3;34;150;146;"19:00:00";"SAO";"LIM";134;13;10
"225";"LIMA - SAO PAULO";"2016-08-10";2553;3;33;150;151;"19:00:00";"SAO";"LIM";140;4;2
"226";"LIMA - SAO PAULO";"2016-08-03";2553;3;32;174;155;"19:00:00";"SAO";"LIM";127;20;4
"227";"LIMA - SAO PAULO";"2016-08-30";2553;2;36;126;121;"19:00:00";"SAO";"LIM";96;1;6
"228";"LIMA - SAO PAULO";"2016-08-23";2553;2;35;150;154;"19:00:00";"SAO";"LIM";135;1;1
"229";"LIMA - SAO PAULO";"2016-08-16";2553;2;34;150;143;"19:00:00";"SAO";"LIM";124;5;4
"230";"LIMA - SAO PAULO";"2016-08-09";2553;2;33;150;150;"19:00:00";"SAO";"LIM";129;1;2
"231";"LIMA - SAO PAULO";"2016-08-02";2553;2;32;150;145;"19:00:00";"SAO";"LIM";104;12;0
